node,combined_cycle,conventional_steam_coal,gas_turbine,igcc_coal,supercritical_coal,ultra_supercritical_coal,unknown_gas
Anhui,2400,11385,0,0,15170,29800,600
Beijing,9600,0,0,0,0,0,0
Chongqing,3000,6564,0,0,4890,3320,0
Fujian,4200,6836,0,0,12860,11960,600
Gansu,600,10990,0,0,8640,6000,0
Guangdong,54000,24641,600,0,9260,37488.2,600
Guangxi,1200,5827.8,0,0,11240,10150,1800
Guizhou,0,19060,0,0,14590,2640,0
Hainan,5400,960,0,0,2100,0,600
Hebei_HEBEI_NORTH,1200,11846,0,0,3500,3980,2400
Hebei_HEBEI_SOUTH,3000,16504,0,0,12734,0,3000
Heilongjiang,0,13561,0,0,6150,0,600
Henan,3600,18690,0,0,20800,26720,600
Hubei,1800,10128,0,0,12610,12000,600
Hunan,0,9055,0,0,6890,10620,600
Inner Mongolia_NM_EAST,600,20272,0,0,11110,11260,600
Inner Mongolia_NM_WEST,600,44100,0,0,11650,19560,600
Jiangsu,22200,21869,0,0,16900,40500,1800
Jiangxi,0,3915,0,0,4680,18764,600
Jilin,0,9981,0,0,6080,0,600
Liaoning,0,16115,0,0,12300,5720,600
Ningxia,1200,11630,0,0,6370,12920,600
Qinghai,0,1140,0,0,700,1320,0
Shaanxi,0,22510,0,0,11900,22420,600
Shandong,3000,53817,0,0,18210,31830,1200
Shanghai,9000,5880,0,0,3000,6620,600
Shanxi,2400,37130,0,0,26420,11572,1200
Sichuan,4800,5755,0,0,5400,2000,600
Tianjin,4800,4074,0,250,2760,5060,600
Tibet,600,0,0,0,0,0,0
Xinjiang,600,26670,0,0,24950,24600,1200
Yunnan,0,8800,0,0,2400,700,600
Zhejiang,13800,15559.8,600,0,6350,27955,600
