node,battery,hydro,nuclear,offwind,onwind,pumped_hydro,solar_pv
Anhui,1050,4800,0,0,9000,2700,43200
Beijing,100,1200,0,0,0,0,0
Chongqing,500,7800,0,0,0,1200,0
Fujian,500,17400,13000,3000,5000,5700,10000
Gansu,2930,9600,0,0,32200,0,0
Guangdong,1550,19200,17000,8100,18200,2400,41200
Guangxi,1050,19200,5000,0,0,0,0
Guizhou,1010,23100,0,0,0,0,0
Hainan,170,1500,2000,0,0,0,0
Hebei_HEBEI_NORTH,800,900,0,0,28600,2400,36100
Hebei_HEBEI_SOUTH,800,1200,0,0,9600,5100,36100
Heilongjiang,200,1200,0,0,0,1200,0
Henan,200,4200,0,0,23400,3600,43500
Hubei,1050,38400,0,0,0,0,0
Hunan,2660,16500,0,0,0,1500,0
Inner Mongolia_NM_EAST,1500,1200,0,0,43000,1200,16100
Inner Mongolia_NM_WEST,2040,1200,0,0,43000,0,32200
Jiangsu,800,2700,7000,15000,23400,1500,61700
Jiangxi,300,6600,0,0,0,1200,0
Jilin,200,5100,0,0,0,2400,0
Liaoning,200,3000,7000,1500,0,3000,0
Ningxia,1210,600,0,0,0,0,0
Qinghai,100,16500,0,0,0,0,0
Shaanxi,800,3900,0,0,0,1500,0
Shandong,3980,1200,5000,0,26800,6000,76200
Shanghai,100,0,0,900,800,0,4000
Shanxi,500,2400,0,0,26200,2700,0
Sichuan,500,97800,0,0,0,0,0
Tianjin,100,0,0,0,0,0,0
Tibet,100,2100,0,0,0,0,0
Xinjiang,3090,8100,0,0,47200,2400,56800
Yunnan,500,83700,0,0,0,0,0
Zhejiang,800,15000,10000,3000,6600,7500,47300
