region_grid,province,Zone,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
NorthwestChina,Xinjiang,XJ,Xinjiang,Aksu Cogen power station Unit 1,supercritical_coal,1,G100000100098,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aksu Cogen power station Unit 2,supercritical_coal,1,G100000100099,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2017,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aksu Xuzhou cogen power station Unit 1,conventional_steam_coal,1,G100000100108,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aksu Xuzhou cogen power station Unit 2,conventional_steam_coal,1,G100000100109,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011,
NortheastChina,Heilongjiang,HL,Heilongjiang,Anda Cogen power station Unit 1,conventional_steam_coal,1,G100000113040,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
NortheastChina,Heilongjiang,HL,Heilongjiang,Anda Cogen power station Unit 2,conventional_steam_coal,1,G100000113041,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
EastChina,Anhui,AH,Anhui,Anhui Bengbu power station Phase I Unit 1,supercritical_coal,1,G100000100238,1,0,,,,,,,,0,1,630,1,630,630,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2008,
EastChina,Anhui,AH,Anhui,Anhui Bengbu power station Phase I Unit 2,supercritical_coal,1,G100000100239,1,0,,,,,,,,0,1,630,1,630,630,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2009,
EastChina,Anhui,AH,Anhui,Anhui Bengbu power station Phase II Unit 3,ultra_supercritical_coal,1,G100000100236,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2018,
EastChina,Anhui,AH,Anhui,Anhui Bengbu power station Phase II Unit 4,ultra_supercritical_coal,1,G100000100237,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2018,
EastChina,Anhui,AH,Anhui,Anhui Huainan Panji power station Phase I Unit 1,ultra_supercritical_coal,1,G100000113322,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2022,
EastChina,Anhui,AH,Anhui,Anhui Huainan Panji power station Phase I Unit 2,ultra_supercritical_coal,1,G100000113323,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2023,
EastChina,Anhui,AH,Anhui,Anhui Huainan Panji power station Phase II Unit 3,ultra_supercritical_coal,1,G100000115310,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2025,
EastChina,Anhui,AH,Anhui,Anhui Huainan Tianjia'an power station Unit 5,conventional_steam_coal,1,G100000102000,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1996,
EastChina,Anhui,AH,Anhui,Anhui Huainan Tianjia'an power station Unit 6,conventional_steam_coal,1,G100000102001,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
EastChina,Anhui,AH,Anhui,Anhui Huaining cogen power station Unit 3,conventional_steam_coal,1,G100000115509,1,0,,,,,,,,0,1,30,1,30,30,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2023,
EastChina,Anhui,AH,Anhui,Anhui Huaining cogen power station Unit 4,conventional_steam_coal,1,G100000115510,1,0,,,,,,,,0,1,30,1,30,30,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2023,
EastChina,Anhui,AH,Anhui,Anhui Hwasu power station Phase I Unit 1,conventional_steam_coal,1,G100000100240,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
EastChina,Anhui,AH,Anhui,Anhui Hwasu power station Phase I Unit 2,conventional_steam_coal,1,G100000100241,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
EastChina,Anhui,AH,Anhui,Anhui Xuancheng power station Phase I Unit 1,ultra_supercritical_coal,1,G100000100245,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2008,
EastChina,Anhui,AH,Anhui,Anhui Xuancheng power station Phase I Unit 2,ultra_supercritical_coal,1,G100000100242,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015,
EastChina,Anhui,AH,Anhui,Anqing power station Phase I Unit 1,conventional_steam_coal,1,G100000109122,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
EastChina,Anhui,AH,Anhui,Anqing power station Phase I Unit 2,conventional_steam_coal,1,G100000109123,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
EastChina,Anhui,AH,Anhui,Anqing power station Phase II Unit 3,ultra_supercritical_coal,1,G100000100234,1,0,,,,,,,,0,1,1000,1,1000,1000,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015,
EastChina,Anhui,AH,Anhui,Anqing power station Phase II Unit 4,ultra_supercritical_coal,1,G100000100235,1,0,,,,,,,,0,1,1000,1,1000,1000,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015,
NortheastChina,Liaoning,LN,Liaoning,Anshan Steel Company No 2 power station Unit 3,conventional_steam_coal,1,G100000112157,1,0,,,,,,,,0,1,125,1,125,125,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1973,
SouthernGrid,Guizhou,GZ,Guizhou,Anshun power station Phase I Unit 1,conventional_steam_coal,1,G100000103249,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1998,
SouthernGrid,Guizhou,GZ,Guizhou,Anshun power station Phase I Unit 2,conventional_steam_coal,1,G100000103250,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1998,
SouthernGrid,Guizhou,GZ,Guizhou,Anshun power station Phase II Unit 3,conventional_steam_coal,1,G100000103251,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
SouthernGrid,Guizhou,GZ,Guizhou,Anshun power station Phase II Unit 4,conventional_steam_coal,1,G100000103252,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2003,
NorthChina,Shanxi,SX,Shanxi,Antaibao Gangue power station Unit 1,supercritical_coal,1,G100000100274,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2025,
NorthChina,Shanxi,SX,Shanxi,Antaibao Gangue power station Unit 2,supercritical_coal,1,G100000100275,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2025,
Changyu,Chongqing,CQ,Chongqing,Anwen Songzao power station Phase II Unit 3,supercritical_coal,1,G100000100286,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016,
Changyu,Chongqing,CQ,Chongqing,Anwen Songzao power station Phase II Unit 4,supercritical_coal,1,G100000100287,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2017,
MiddleChina,Henan,HA,Henan,Anyang power station Unit 1,conventional_steam_coal,1,G100000102004,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
MiddleChina,Henan,HA,Henan,Anyang power station Unit 10,conventional_steam_coal,1,G100000102003,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1998,
MiddleChina,Henan,HA,Henan,Anyang power station Unit 2,conventional_steam_coal,1,G100000102005,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
MiddleChina,Henan,HA,Henan,Anyang power station Unit 9,conventional_steam_coal,1,G100000102002,1,0,,,,,,,,0,1,320,1,320,320,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1997,
EastChina,Jiangxi,JX,Jiangxi,Anyuan power station Unit 3,ultra_supercritical_coal,1,G100000104253,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015,
EastChina,Jiangxi,JX,Jiangxi,Anyuan power station Unit 4,ultra_supercritical_coal,1,G100000104254,1,0,,,,,,,,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2015,
NorthwestChina,Shaanxi,SN,Shaanxi,Aoweiqianyuan Captive power station Unit 1,conventional_steam_coal,1,G100000113547,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
NorthwestChina,Shaanxi,SN,Shaanxi,Aoweiqianyuan Captive power station Unit 2,conventional_steam_coal,1,G100000113548,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
EastChina,Jiangsu,JS,Jiangsu,APP Zhenjiang Jindong Mill power station Unit 1,conventional_steam_coal,1,G100000100300,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1998,
EastChina,Jiangsu,JS,Jiangsu,APP Zhenjiang Jindong Mill power station Unit 2,conventional_steam_coal,1,G100000100299,1,0,,,,,,,,0,1,80,1,80,80,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1998,
EastChina,Jiangsu,JS,Jiangsu,APP Zhenjiang Jindong Mill power station Unit 3,conventional_steam_coal,1,G100000100298,1,0,,,,,,,,0,1,80,1,80,80,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1999,
EastChina,Jiangsu,JS,Jiangsu,APP Zhenjiang Jindong Mill power station Unit 4,conventional_steam_coal,1,G100000112758,1,0,,,,,,,,0,1,80,1,80,80,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aral Xinhu Cogen power station Phase I Unit 1,conventional_steam_coal,1,G100000113080,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aral Xinhu Cogen power station Phase I Unit 2,conventional_steam_coal,1,G100000100305,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aral Xinhu Cogen power station Phase II Unit 3,supercritical_coal,1,G100000111161,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2014,
NorthwestChina,Xinjiang,XJ,Xinjiang,Aral Xinhu Cogen power station Phase II Unit 4,supercritical_coal,1,G100000111162,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2014,
NorthChina,Shandong,SD,Shandong,Asia Symbol captive power station Unit 3,conventional_steam_coal,1,G100000115276,1,0,,,,,,,,0,1,82,1,82,82,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2010,
SouthernGrid,Guangxi,GX,Guangxi,Baise Smelter power station Unit 1,supercritical_coal,1,G100000100436,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2015,
SouthernGrid,Guangxi,GX,Guangxi,Baise Smelter power station Unit 2,supercritical_coal,1,G100000100437,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2015,
SouthernGrid,Guangxi,GX,Guangxi,Baise Tiandong power station Unit 1,conventional_steam_coal,1,G100000113105,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2004,
SouthernGrid,Guangxi,GX,Guangxi,Baise Tiandong power station Unit 2,conventional_steam_coal,1,G100000113106,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2005,
SouthernGrid,Guangxi,GX,Guangxi,Baise Tianyang power station Unit 1,conventional_steam_coal,1,G100000100434,1,0,,,,,,,,0,1,150,1,150,150,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
SouthernGrid,Guangxi,GX,Guangxi,Baise Tianyang power station Unit 2,conventional_steam_coal,1,G100000100435,1,0,,,,,,,,0,1,150,1,150,150,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2007,
Changyu,Chongqing,CQ,Chongqing,Baitao cogen power station Unit 1,conventional_steam_coal,1,G100000113740,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
Changyu,Chongqing,CQ,Chongqing,Baitao cogen power station Unit 2,conventional_steam_coal,1,G100000113741,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2012,
Changyu,Chongqing,CQ,Chongqing,Baitao cogen power station Unit 3,conventional_steam_coal,1,G100000114922,1,0,,,,,,,,0,1,60,1,60,60,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2024,
Changyu,Chongqing,CQ,Chongqing,Baitao cogen power station Unit 4,conventional_steam_coal,1,G100000114923,1,0,,,,,,,,0,1,60,1,60,60,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2024,
Changyu,Chongqing,CQ,Chongqing,Baitao Industrial Park Heat Island Center power station Unit 1,conventional_steam_coal,1,G100000115320,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
Changyu,Chongqing,CQ,Chongqing,Baitao Industrial Park Heat Island Center power station Unit 2,conventional_steam_coal,1,G100000115321,1,0,,,,,,,,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
NorthChina,Shandong,SD,Shandong,Baiyanghe power station Unit 6,conventional_steam_coal,1,G100000100443,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2009,
NorthChina,Shandong,SD,Shandong,Baiyanghe power station Unit 7,conventional_steam_coal,1,G100000100444,1,0,,,,,,,,0,1,300,1,300,300,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2009,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Baiyinhua Industrial Park Captive power station Unit 1,supercritical_coal,1,G100000101726,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2022,
Neimenggu,Inner Mongolia,NM_E,Inner Mongolia_NM_EAST,Baiyinhua Industrial Park Captive power station Unit 2,supercritical_coal,1,G100000101727,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2022,
NorthChina,Shanxi,SX,Shanxi,Baode power station Unit 1,conventional_steam_coal,1,G100000109099,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
NorthChina,Shanxi,SX,Shanxi,Baode power station Unit 2,conventional_steam_coal,1,G100000109100,1,0,,,,,,,,0,1,135,1,135,135,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2006,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding cogen power station Phase IV Unit 12,supercritical_coal,1,G100000112936,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2023,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding cogen power station Phase IV Unit 13,supercritical_coal,1,G100000112937,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2024,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding cogen power station Unit 10,conventional_steam_coal,1,G100000102006,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding cogen power station Unit 11,conventional_steam_coal,1,G100000102007,1,0,,,,,,,,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2008,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding Northwest Suburb power station Unit 1,supercritical_coal,1,G100000100549,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2017,
NorthChina,Hebei,HB_S,Hebei_HEBEI_SOUTH,Baoding Northwest Suburb power station Unit 2,supercritical_coal,1,G100000100550,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2018,
EastChina,Shanghai,SH,Shanghai,Baoshan Works power station Unit 1,conventional_steam_coal,1,G100000100556,1,0,,,,,,,,0,1,350,1,350,350,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,1980,
