region_grid,province,node,Resource,technology,cluster,R_ID,COAL,GAS,NUCLEAR,HYDRO,ONWIND,OFFWIND,SOLAR,PUMPED,BATTERY,OTHER,Commit,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,Cap_Size,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Eff_Up,Eff_Down,Ramp_Up_Percentage,Ramp_Dn_Percentage,status,start_year,retired_year
NorthwestChina,Xinjiang,Xinjiang,Aksu Cogen power station Unit 1,supercritical_coal,1,G100000100098,1,0,0,0,0,0,0,0,0,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2016,
NorthwestChina,Xinjiang,Xinjiang,Aksu Cogen power station Unit 2,supercritical_coal,1,G100000100099,1,0,0,0,0,0,0,0,0,0,1,350,1,350,350,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2017,
NorthwestChina,Xinjiang,Xinjiang,Aksu Xuzhou cogen power station Unit 1,conventional_steam_coal,1,G100000100108,1,0,0,0,0,0,0,0,0,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011,
NorthwestChina,Xinjiang,Xinjiang,Aksu Xuzhou cogen power station Unit 2,conventional_steam_coal,1,G100000100109,1,0,0,0,0,0,0,0,0,0,1,200,1,200,200,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2011,
NortheastChina,Heilongjiang,Heilongjiang,Anda Cogen power station Unit 1,conventional_steam_coal,1,G100000113040,1,0,0,0,0,0,0,0,0,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
NortheastChina,Heilongjiang,Heilongjiang,Anda Cogen power station Unit 2,conventional_steam_coal,1,G100000113041,1,0,0,0,0,0,0,0,0,0,1,50,1,50,50,5,30,0,10.3,coal,0.4,0.331262136,0.331262136,0.5,0.5,operating,2014,
EastChina,Anhui,Anhui,Anhui Bengbu power station Phase I Unit 1,supercritical_coal,1,G100000100238,1,0,0,0,0,0,0,0,0,0,1,630,1,630,630,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2008,
EastChina,Anhui,Anhui,Anhui Bengbu power station Phase I Unit 2,supercritical_coal,1,G100000100239,1,0,0,0,0,0,0,0,0,0,1,630,1,630,630,5,30,0,9.4,coal,0.4,0.362978723,0.362978723,0.5,0.5,operating,2009,
EastChina,Anhui,Anhui,Anhui Bengbu power station Phase II Unit 3,ultra_supercritical_coal,1,G100000100236,1,0,0,0,0,0,0,0,0,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2018,
EastChina,Anhui,Anhui,Anhui Bengbu power station Phase II Unit 4,ultra_supercritical_coal,1,G100000100237,1,0,0,0,0,0,0,0,0,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2018,
EastChina,Anhui,Anhui,Anhui Huainan Panji power station Phase I Unit 1,ultra_supercritical_coal,1,G100000113322,1,0,0,0,0,0,0,0,0,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2022,
EastChina,Anhui,Anhui,Anhui Huainan Panji power station Phase I Unit 2,ultra_supercritical_coal,1,G100000113323,1,0,0,0,0,0,0,0,0,0,1,660,1,660,660,5,30,0,8.8,coal,0.4,0.387727273,0.387727273,0.5,0.5,operating,2023,
