from_node,to_node,voltage_kv,ac_dc,circuits,capacity_mw,length_km,status,commission_year,as_of,line_name_cn,notes,source
Xinjiang,Anhui,1100,DC,1,12000,3324,in_service,2019,01.01.26,准东-皖南±1100千伏特高压直流输电工程,,https://www.mee.gov.cn/ywgz/hjyxpj/jsxmhjyxpj/xmslqk/201605/W020160522145806278240.pdf
Xinjiang,Anhui,1100,DC,1,12000,3293,in_service,2019,01.01.26,昌吉—古泉±1100千伏特高压直流输电工程（吉泉直流）,送端：新疆昌吉；受端：安徽古泉/宣城地区。,https://www.nea.gov.cn/2019-10/11/c_138465622.htm; https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Shanxi,Henan,1000,AC,1,5000,654,in_service,2009,01.01.26,晋东南—南阳—荆门1000千伏特高压交流试验示范工程,,https://www.sasac.gov.cn/n4470048/n16518962/n19136906/n19136924/c19323161/content.html
Anhui,Zhejiang,1000,AC,1,8000,,in_service,2013,01.01.26,淮南—浙北—上海1000千伏输变电工程,,https://paper.people.com.cn/zgnyb/html/2013-10/07/content_1306888.htm
Zhejiang,Shanghai,1000,AC,1,8000,,in_service,2014,02.01.26,淮南—浙北—上海1000千伏输变电工程,,https://paper.people.com.cn/zgnyb/html/2013-10/07/content_1306888.htm
Zhejiang,Fujian,1000,AC,1,6800,,in_service,2014,01.01.26,浙北—福州1000千伏特高压交流输变电工程,,https://www.chinanews.com.cn/ny/2014/12-26/6915984.shtml
Anhui,Jiangsu,1000,AC,1,8000,,in_service,2016,01.01.26,淮南-南京-上海1000千伏特高压交流工程,,https://www.chinanews.com.cn/cj/2016/12-06/8089150.shtml
Jiangsu,Shanghai,1000,AC,1,8000,,in_service,2017,02.01.26,淮南-南京-上海1000千伏特高压交流工程,,https://www.chinanews.com.cn/cj/2016/12-06/8089150.shtml
NM_WEST,Shandong,1000,AC,1,6000,,in_service,2016,01.01.26,锡盟—山东1000kV特高压交流输变电工程,,https://gxt.shandong.gov.cn/art/2016/6/30/art_15164_1046058.html
NM_WEST,Tianjin,1000,AC,1,5000,,in_service,2016,01.01.26,蒙西—天津南1000千伏特高压交流输变电工程,,https://www.cnr.cn/sx/sxcj/20161130/t20161130_523296745.shtml
HEBEI_NORTH,NM_WEST,1000,AC,1,5000,,in_service,2024,02.01.26,张北-胜利特高压1000千伏交流,,
HEBEI_NORTH,Beijing,500,AC,1,3000,,in_service,2020,03.01.26,张南-昌平III 回500kV 输变电工程环境影响报告书I,,
Shaanxi,Shandong,1000,AC,1,6500,,in_service,2017,01.01.26,榆横—潍坊1000千伏特高压交流输变电工程,,https://paper.people.com.cn/zgnyb/html/2017-08/21/content_1799919.htm
NM_WEST,Shanxi,1000,AC,1,6500,,in_service,2020,01.01.26,蒙西—晋中1000千伏特高压交流输变电工程,,https://paper.people.com.cn/zgnyb/html/2020-10/12/content_2013156.htm
Shandong,HEBEI_SOUTH,1000,AC,1,6500,,in_service,2020,01.01.26,潍坊—临沂—枣庄—菏泽—石家庄1000千伏特高压交流工程,,https://www.cwc.net.cn/mobile/news/show-12741.html; https://www.chinasmartgrid.com.cn/news/20191202/634310.shtml
Jiangxi,Hunan,1000,AC,1,6500,,in_service,2021,01.01.26,南昌—长沙1000千伏特高压交流工程,,https://www.news.cn/2021-12/26/c_1128201772.htm
Henan,Hubei,1000,AC,1,6500,,in_service,2022,01.01.26,南阳—荆门—长沙1000千伏特高压交流工程,,https://paper.people.com.cn/zgnyb/pc/content/202511/03/content_30113366.html
Henan,Hubei,1000,AC,1,6500,,in_service,2023,01.01.26,驻马店—武汉1000千伏特高压交流工程,,https://www.sasac.gov.cn/n2588025/n2588124/c29465879/content.html
HEBEI_NORTH,NM_EAST,1000,AC,1,6500,732,in_service,2024,01.01.26,张北—胜利1000千伏特高压交流工程,,https://www.news.cn/politics/20241031/ab0432910bf344d7a1702e2ff8a0efe0/c.html
Hubei,Jiangxi,1000,AC,1,6500,,in_service,2024,01.01.26,武汉—南昌1000千伏特高压交流工程,,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/wgdw/nyj/xnyhkzsnyc/gzdt/202411/t20241101_5396198.shtml
Sichuan,Chongqing,1000,AC,1,6500,,in_service,2024,01.01.26,川渝1000千伏特高压交流工程,工程在四川、重庆两地新建甘孜、天府南、成都东、铜梁4座1000千伏变电站=,https://www.news.cn/20241227/5ffcceb2c88846ca92ef05d6fb4fbb91/c.html
Fujian,Fujian,1000,AC,1,6500,,in_service,2023,01.01.26,福州—厦门1000千伏特高压交流工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
HEBEI_SOUTH,HEBEI_SOUTH,1000,AC,1,6500,,in_service,2020,01.01.26,张北—雄安1000千伏特高压交流输变电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
HEBEI_SOUTH,HEBEI_SOUTH,1000,AC,1,6500,,in_service,2019,01.01.26,雄安—石家庄1000千伏交流特高压输变电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
HEBEI_SOUTH,NM_WEST,1000,AC,1,6500,,in_service,2024,01.01.26,张北—胜利1000千伏特高压交流工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Henan,Henan,1000,AC,1,6500,,in_service,2020,01.01.26,驻马店-南阳1000千伏交流特高压输变电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Hubei,Hubei,1000,AC,1,6500,,in_service,2022,01.01.26,荆门—武汉1000千伏特高压交流工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
Jiangsu,Jiangsu,1000,AC,1,6500,5.4,in_service,2019,01.01.26,苏通1000千伏交流特高压GIL综合管廊工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
NM_WEST,NM_WEST,1000,AC,1,6500,,in_service,2017,01.01.26,锡盟—胜利1000千伏特高压交流输变电工程,,inter_provincial_lines_202509.xlsx::2025-09已建成
