node,zone,Load,Renewable,Max_Load_GW,Coal_Benchmark_Price_perMWh,"Equiv._Coal_Price (with tax, RMB/tone)","Equiv._Coal_Price (with tax, RMB/MWh-e)",Gas_Price (RMB/MWh-e),Nuclear_Price (RMB/MWh-e),XX_Price,Coal_Price_1,Coal_Price_2,Coal_Price_3,Coal_Price_4,Coal_Price_5,Coal_Price_6,Coal_Price_7,Coal_Price_8,Coal_Price_9,Coal_Price_10,Coal_Price_11,Coal_Price_12
Beijing,,0.05,0.1,26,360,644,100,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Tianjin,,0.05,0.1,16,366,654,102,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
HEBEI_SOUTH,,0.05,0.1,47,364,653,102,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Shanxi,,0.05,0.1,32,332,595,93,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Shandong,,0.05,0.1,37,395,707,110,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
HEBEI_NORTH,,0.05,0.1,111,364,653,102,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
NM_EAST,,0.05,0.1,9,260,465,72,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Liaoning,,0.05,0.1,35,375,671,105,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Jilin,,0.05,0.1,11,374,670,104,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Heilongjiang,,0.05,0.1,12,374,670,104,350,20,,700,690,680,670,670,660,660,670,680,690,700,690
Shanghai,,0.05,0.1,42,416,744,116,350,20,,820,820,810,810,800,790,780,800,810,820,830,870
Jiangsu,,0.05,0.1,144,391,700,109,350,20,,820,820,810,810,800,790,780,800,810,820,830,870
Zhejiang,,0.05,0.1,130,415,744,116,350,20,,820,820,810,810,800,790,780,800,810,820,830,870
Anhui,,0.05,0.1,67,384,688,107,350,20,,820,820,810,810,800,790,780,800,810,820,830,870
Fujian,,0.05,0.1,57,393,704,110,350,20,,820,820,810,810,800,790,780,800,810,820,830,870
Jiangxi,,0.05,0.1,34,414,742,116,350,20,,750,740,730,730,720,730,740,750,760,770,780,770
Henan,,0.05,0.1,70,364,653,102,350,20,,750,740,730,730,720,730,740,750,760,770,780,770
Hubei,,0.05,0.1,53,416,745,116,350,20,,750,740,730,730,720,730,740,750,760,770,780,770
Hunan,,0.05,0.1,44,450,806,126,350,20,,750,740,730,730,720,730,740,750,760,770,780,770
Chongqing,,0.05,0.1,27,396,710,111,350,20,,800,790,780,770,760,750,750,760,770,780,790,780
Sichuan,,0.05,0.1,59,401,718,112,350,20,,800,790,780,770,760,750,750,760,770,780,790,780
Guangdong,,0.05,0.1,165,453,811,126,350,20,,900,890,880,870,860,850,860,870,880,890,900,890
Guangxi,,0.05,0.1,29,384,688,107,350,20,,900,890,880,870,860,850,860,870,880,890,900,890
Hainan,,0.05,0.1,8,430,770,120,350,20,,900,890,880,870,860,850,860,870,880,890,900,890
Guizhou,,0.05,0.1,27,332,595,93,350,20,,700,700,700,700,700,700,700,700,700,700,700,700
Yunnan,,0.05,0.1,29,336,601,94,350,20,,700,700,700,700,700,700,700,700,700,700,700,700
Shaanxi,,0.05,0.1,42,355,635,99,350,20,,600,600,600,600,600,600,600,600,600,600,600,600
Gansu,,0.05,0.1,24,308,551,86,350,20,,500,500,500,500,500,500,500,500,500,500,500,500
Qinghai,,0.05,0.1,13,308,551,86,350,20,,500,500,500,500,500,500,500,500,500,500,500,500
Ningxia,,0.05,0.1,17,260,465,72,350,20,,500,500,500,500,500,500,500,500,500,500,500,500
Xinjiang,,0.05,0.1,43,250,448,70,350,20,,400,400,400,400,400,400,400,400,400,400,400,400
NM_WEST,,0.05,0.1,42,260,465,72,350,20,,600,600,600,600,600,600,600,600,600,600,600,600
Tibet,,0.05,0.1,2,332,595,93,350,20,,900,900,900,900,900,900,900,900,900,900,900,900
