snapshot,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2025-02-18 00:00:00,197.58,350.00,0.00,125.15,195.60,0.00,0.00,0.00,270.74,268.03,344.27,270.74,223.57,0.00,0.00,258.20,0.00,268.03,270.74,268.03,255.62,195.60,197.58,219.12,221.34,255.62,256.38,-0.00,258.20,193.65,172.08,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,200.69,172.81,202.61,139.06,131.74,0.00,0.00,178.86,235.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362.39,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,198.08
2025-02-18 01:00:00,197.58,350.00,0.00,125.15,195.60,0.00,0.00,0.00,270.74,268.03,20.00,270.74,223.57,0.00,0.00,258.20,0.00,268.03,268.03,268.03,255.62,195.60,197.58,219.12,221.34,255.62,256.38,0.00,258.20,193.65,172.08,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,194.08,172.81,195.98,139.06,131.74,0.00,0.00,178.86,230.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.82,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,191.89
2025-02-18 02:00:00,178.31,350.00,0.00,125.15,195.60,0.00,0.00,-0.00,270.74,268.03,20.00,270.74,223.57,0.00,0.00,258.20,0.00,268.03,268.03,268.03,255.62,195.60,197.58,219.12,221.34,255.62,255.62,-0.00,258.20,174.77,172.08,0.00,176.53,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,227.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.55,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,183.96
2025-02-18 03:00:00,178.31,350.00,0.00,125.15,195.60,0.00,0.00,-0.00,270.74,268.03,20.00,270.74,223.57,0.00,-0.00,255.62,0.00,268.03,268.03,268.03,255.62,195.60,197.58,219.12,221.34,253.07,253.07,-0.00,258.20,174.77,172.08,0.00,176.53,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,225.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.35,-0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,183.96
2025-02-18 04:00:00,178.31,350.00,-0.00,125.15,195.60,0.00,-0.00,-0.00,270.74,268.03,20.00,270.74,223.57,0.00,-0.00,233.03,0.00,268.03,268.03,268.03,255.62,195.60,197.58,219.12,221.34,230.70,253.07,-0.00,258.20,174.77,172.08,0.00,176.53,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,223.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,20.19,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,183.96
2025-02-18 05:00:00,178.31,350.00,0.00,125.15,195.60,0.00,0.00,-0.00,270.74,268.03,20.00,270.74,223.57,-0.00,0.00,258.20,0.00,268.03,268.03,268.03,255.62,195.60,197.58,219.12,221.34,255.62,255.62,-0.00,258.20,174.77,172.08,0.00,176.53,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,221.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.04,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,183.96
2025-02-18 06:00:00,197.58,350.00,0.00,125.15,195.60,0.00,-0.00,0.00,270.74,268.03,20.00,270.74,223.57,0.00,0.00,258.20,0.00,268.03,268.03,265.35,255.62,195.60,197.58,219.12,221.34,255.62,255.62,-0.00,258.20,193.65,172.08,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,219.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.90,0.00,0.00,175.30,208.17,185.82,187.70,185.82,137.66,163.48,242.84,183.96
2025-02-18 07:00:00,197.58,350.00,0.00,125.15,195.60,0.00,0.00,0.00,268.03,268.03,20.00,270.74,223.57,0.00,0.00,258.20,0.00,268.03,268.03,265.35,255.62,195.60,195.60,219.12,221.34,255.62,255.62,-0.00,258.20,193.65,172.08,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,210.27,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,242.84,206.56,245.29,171.08,185.82,172.81,187.70,139.06,131.74,0.00,0.00,178.86,216.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.77,0.00,0.00,175.30,208.17,185.82,186.68,185.82,137.66,163.48,242.84,183.96
2025-02-18 08:00:00,173.82,350.00,0.00,125.15,185.29,0.00,0.00,0.00,268.03,268.03,20.00,270.74,219.12,0.00,0.00,253.78,0.00,268.03,268.03,265.35,253.78,183.44,183.44,219.12,216.93,251.24,251.24,-0.00,256.34,170.36,172.08,0.00,172.08,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,207.46,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,241.08,206.56,243.92,171.08,173.52,172.81,175.89,139.06,131.74,0.00,0.00,178.86,211.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.63,0.00,0.00,175.30,208.17,180.47,179.75,179.87,137.66,163.48,242.84,171.91
2025-02-18 09:00:00,160.97,350.00,0.00,157.77,160.97,0.00,0.00,-0.00,268.03,268.03,20.00,270.74,160.97,0.00,0.00,251.24,0.00,268.03,268.03,265.35,248.73,162.60,159.36,164.24,162.60,248.73,251.24,0.00,251.24,157.77,159.36,0.00,159.36,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.56,177.07,169.31,214.42,254.63,216.59,257.20,214.42,254.63,216.59,257.20,238.36,206.56,240.23,171.08,165.01,172.81,168.51,139.06,149.88,0.00,0.00,178.86,168.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44,0.00,0.00,175.30,169.97,167.00,165.29,168.66,137.66,163.48,242.84,163.29
