bus,snapshot,type,label,capacity,cost,net_demand
Anhui,2026-09-11 00:00,Generator,coal_gen__8,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__9,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__10,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__11,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__12,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__19,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__20,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__23,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__24,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__629,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__630,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__864,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__865,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__867,311.72,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1068,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1069,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1070,614.23,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1073,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1074,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1083,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1084,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1619,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1620,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1621,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1622,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1642,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1643,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1690,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1691,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1915,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__1916,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2367,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2509,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2510,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2637,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2638,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2639,239.38,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2640,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,coal_gen__2641,126.20,294.07,44303.25
Anhui,2026-09-11 00:00,Generator,hydro_gen__3320,2692.52,0.00,44303.25
Anhui,2026-09-11 00:00,Generator,onwind_gen__3321,3192.18,0.00,44303.25
Anhui,2026-09-11 00:00,Import,Import_Xinjiang,11880.00,192.60,44303.25
Anhui,2026-09-11 00:00,Congestion,Rent_link_0_Xinjiang_Anhui,0.00,294.07,44303.25
Anhui,2026-09-11 00:00,Import,Import_Xinjiang,11880.00,192.60,44303.25
Anhui,2026-09-11 00:00,Congestion,Rent_link_1_Xinjiang_Anhui,0.00,294.07,44303.25
Anhui,2026-09-11 00:00,Import,Import_Ningxia,7920.00,218.19,44303.25
Anhui,2026-09-11 00:00,Congestion,Rent_link_66_Ningxia_Anhui,0.00,294.07,44303.25
Anhui,2026-09-11 00:00,Storage,Discharge_battery_3324,11.47,294.07,44303.25
Beijing,2026-09-11 00:00,Generator,gas_gen__3201,6543.53,350.00,12740.00
Beijing,2026-09-11 00:00,Generator,hydro_gen__3252,673.13,0.00,12740.00
Beijing,2026-09-11 00:00,Generator,onwind_gen__3253,177.34,0.00,12740.00
Beijing,2026-09-11 00:00,Import,Import_HEBEI_NORTH,2970.00,264.22,12740.00
Beijing,2026-09-11 00:00,Congestion,Rent_link_11_HEBEI_NORTH_Beijing__fwd,0.00,350.00,12740.00
Beijing,2026-09-11 00:00,Import,Import_Tianjin,2376.00,260.81,12740.00
Beijing,2026-09-11 00:00,Congestion,Rent_link_95_Beijing_Tianjin__rev,0.00,350.00,12740.00
Chongqing,2026-09-11 00:00,Generator,coal_gen__313,660.00,279.79,24377.52
