,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2026-02-21 00:00:00,218.19,350.00,0.00,209.60,213.85,0.00,0.00,0.00,270.74,268.03,344.27,270.74,255.62,0.00,0.00,258.20,0.00,268.03,270.74,268.03,255.62,213.85,213.85,219.12,221.34,255.62,258.20,0.00,258.20,213.85,207.50,0.00,216.01,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,248.39,206.56,245.29,172.81,205.21,174.55,207.28,167.68,199.12,0.00,0.00,204.50,242.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327.06,0.00,0.00,175.30,208.17,203.16,203.16,203.16,166.00,197.12,242.84,203.16
2026-02-21 01:00:00,216.01,350.00,0.00,209.60,213.85,0.00,0.00,0.00,270.74,268.03,20.00,270.74,255.62,0.00,0.00,258.20,0.00,268.03,270.74,268.03,255.62,213.85,213.85,219.12,221.34,255.62,258.20,0.00,258.20,213.85,207.50,0.00,216.01,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,247.63,206.56,245.29,172.81,205.21,174.55,206.83,167.68,199.12,0.00,0.00,204.50,242.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.74,0.00,0.00,175.30,208.17,203.16,203.16,203.16,166.00,197.12,242.84,203.16
2026-02-21 02:00:00,216.01,350.00,0.00,209.60,211.71,0.00,0.00,0.00,270.74,268.03,20.00,270.74,253.07,0.00,0.00,258.20,0.00,268.03,270.74,268.03,255.62,213.85,213.85,219.12,221.34,255.62,255.62,-0.00,258.20,213.85,207.50,0.00,216.01,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,245.23,206.56,245.29,172.81,205.21,174.55,206.23,167.68,199.12,0.00,0.00,204.50,241.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.45,0.00,0.00,175.30,208.17,202.79,203.16,203.16,166.00,197.12,242.84,203.16
2026-02-21 03:00:00,213.85,350.00,0.00,209.60,211.71,0.00,-0.00,-0.00,270.74,268.03,20.00,270.74,223.57,-0.00,0.00,216.01,-0.00,268.03,270.74,268.03,255.62,211.71,213.85,219.12,221.34,213.85,253.07,-0.00,258.20,209.60,207.50,-0.00,211.71,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,216.85,206.56,218.69,172.81,203.82,174.55,205.08,167.68,199.12,0.00,0.00,204.50,230.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.24,0.00,0.00,175.30,208.17,202.27,203.16,202.41,166.00,197.12,242.84,201.64
2026-02-21 04:00:00,197.58,350.00,-0.00,193.65,197.58,-0.00,0.00,-0.00,270.74,268.03,20.00,270.74,223.57,-0.00,-0.00,199.57,0.00,268.03,270.74,268.03,255.62,195.60,199.57,219.12,221.34,197.58,253.07,-0.00,258.20,193.65,195.60,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,205.95,206.56,207.80,172.81,201.52,174.55,203.31,167.68,197.95,0.00,0.00,204.50,226.48,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,20.04,-0.00,0.00,175.30,208.17,201.48,202.60,200.80,166.00,197.12,242.84,199.45
2026-02-21 05:00:00,197.58,350.00,0.00,193.65,197.58,0.00,-0.00,-0.00,270.74,268.03,20.00,270.74,223.57,-0.00,0.00,199.57,-0.00,268.03,270.74,268.03,255.62,195.60,199.57,219.12,221.34,197.58,253.07,-0.00,258.20,193.65,195.60,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,203.54,206.56,205.58,172.81,199.85,174.55,201.76,167.68,196.92,0.00,0.00,204.50,223.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,19.86,-0.00,0.00,175.30,208.17,200.64,202.06,199.47,166.00,197.12,242.84,197.78
2026-02-21 06:00:00,209.60,350.00,0.00,205.42,209.60,-0.00,-0.00,-0.00,270.74,268.03,20.00,273.47,223.57,0.00,0.00,211.71,0.00,270.74,270.74,268.03,255.62,207.50,211.71,219.12,221.34,209.60,258.20,-0.00,258.20,205.42,207.50,0.00,207.50,332.50,245.29,216.59,257.20,214.42,254.63,206.56,245.29,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,201.66,206.56,203.91,172.81,198.39,174.55,200.36,167.68,195.95,0.00,0.00,204.50,219.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,19.69,0.00,0.00,175.30,208.17,199.80,201.52,198.22,166.00,197.12,242.84,196.29
2026-02-21 07:00:00,197.58,350.00,-0.00,153.75,195.60,0.00,-0.00,-0.00,270.74,268.03,20.00,270.74,223.57,-0.00,0.00,199.57,0.00,268.03,270.74,268.03,255.62,195.60,193.65,219.12,221.34,197.58,253.07,-0.00,258.20,193.65,172.08,0.00,195.60,332.50,245.29,216.59,257.20,214.42,254.63,206.56,243.57,177.07,210.27,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,198.58,206.56,200.99,172.81,191.26,174.55,192.98,167.68,161.84,0.00,0.00,204.50,215.54,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,19.48,0.00,0.00,175.30,208.17,192.01,190.82,191.54,166.00,176.26,242.84,188.99
2026-02-21 08:00:00,173.82,350.00,-0.00,170.36,173.82,0.00,0.00,-0.00,268.03,265.35,20.00,270.74,177.35,-0.00,0.00,187.78,0.00,268.03,268.03,265.35,253.78,175.58,172.08,177.35,175.58,185.91,251.24,0.00,256.34,170.36,172.08,-0.00,172.08,332.50,245.29,216.59,257.20,214.42,253.40,206.56,240.87,177.07,174.95,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,195.69,206.56,197.67,172.81,172.70,174.55,174.98,167.68,161.84,0.00,0.00,204.50,178.89,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,19.19,0.00,0.00,175.30,176.78,173.02,170.96,174.96,166.00,169.72,242.84,170.81
2026-02-21 09:00:00,152.43,350.00,0.00,150.91,149.40,0.00,0.00,-0.00,251.24,248.73,0.00,268.03,152.43,-0.00,0.00,187.78,0.00,265.35,268.03,253.78,233.72,150.91,147.91,150.91,150.91,185.91,231.39,0.00,251.24,150.91,150.91,-0.00,152.43,332.50,245.29,216.59,257.20,214.42,249.17,206.56,227.68,177.07,148.83,214.42,254.63,216.59,257.20,216.59,257.20,218.78,259.80,195.69,206.56,197.67,172.81,158.35,174.55,158.94,167.68,157.99,0.00,0.00,204.50,158.95,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.30,150.67,147.32,147.77,156.81,166.00,157.66,242.84,156.66
