snapshot,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,HEBEI_NORTH,HEBEI_SOUTH,Hainan,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,NM_EAST,NM_WEST,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Beijing__battery__bus__3255,Tianjin__battery__bus__3258,HEBEI_NORTH__pumped__bus__3262,HEBEI_NORTH__battery__bus__3263,HEBEI_SOUTH__pumped__bus__3267,HEBEI_SOUTH__battery__bus__3268,Shanxi__pumped__bus__3272,Shanxi__battery__bus__3273,Shandong__pumped__bus__3278,Shandong__battery__bus__3279,NM_EAST__pumped__bus__3283,NM_EAST__battery__bus__3284,Liaoning__pumped__bus__3290,Liaoning__battery__bus__3291,Jilin__pumped__bus__3295,Jilin__battery__bus__3296,Heilongjiang__pumped__bus__3300,Heilongjiang__battery__bus__3301,Shanghai__battery__bus__3305,Jiangsu__pumped__bus__3311,Jiangsu__battery__bus__3312,Zhejiang__pumped__bus__3318,Zhejiang__battery__bus__3319,Anhui__pumped__bus__3323,Anhui__battery__bus__3324,Fujian__pumped__bus__3330,Fujian__battery__bus__3331,Jiangxi__pumped__bus__3335,Jiangxi__battery__bus__3336,Henan__pumped__bus__3340,Henan__battery__bus__3341,Hubei__battery__bus__3345,Hunan__pumped__bus__3349,Hunan__battery__bus__3350,Chongqing__pumped__bus__3354,Chongqing__battery__bus__3355,Sichuan__battery__bus__3359,Guangdong__pumped__bus__3365,Guangdong__battery__bus__3366,Guangxi__battery__bus__3371,Hainan__battery__bus__3376,Guizhou__battery__bus__3380,Yunnan__battery__bus__3384,Shaanxi__pumped__bus__3388,Shaanxi__battery__bus__3389,Gansu__battery__bus__3393,Qinghai__battery__bus__3397,Ningxia__battery__bus__3401,Xinjiang__pumped__bus__3405,Xinjiang__battery__bus__3406,NM_WEST__battery__bus__3410,Tibet__battery__bus__3413
2026-03-25 00:00:00,294.07,350.00,283.36,294.07,213.85,319.05,269.12,271.84,245.20,247.67,340.46,219.48,262.86,265.52,216.01,294.07,265.52,221.70,223.94,221.70,245.20,213.85,216.01,221.70,223.94,297.04,264.22,294.07,247.67,297.04,172.08,315.86,297.04,355.78,251.01,231.23,248.50,231.23,251.01,264.03,251.01,202.45,235.29,226.63,233.37,228.92,235.73,228.92,233.37,231.23,231.04,309.54,297.15,279.36,314.06,309.54,235.25,279.36,311.19,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,301.95,298.27,306.45,280.00,320.07,283.29,324.16,281.57,316.68,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,311.50
2026-03-25 01:00:00,294.07,350.00,283.36,294.07,213.85,319.05,269.12,271.84,245.20,247.67,340.46,219.48,262.86,265.52,216.01,294.07,265.52,221.70,223.94,221.70,245.20,213.85,216.01,221.70,223.94,297.04,264.22,294.07,247.67,297.04,172.08,315.86,297.04,355.53,251.01,231.23,248.50,231.23,251.01,263.84,251.01,202.45,235.29,226.63,233.37,228.92,235.73,228.92,233.37,231.23,231.04,309.54,297.11,279.36,313.40,309.54,235.25,279.36,310.58,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,301.26,298.27,306.45,280.00,319.60,283.29,324.14,281.47,316.23,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,310.48
2026-03-25 02:00:00,294.07,350.00,283.36,294.07,213.85,319.05,269.12,271.84,236.07,238.46,340.46,219.48,262.86,265.52,216.01,294.07,265.52,221.70,223.94,221.70,236.07,213.85,216.01,221.70,223.94,297.04,264.22,294.07,247.67,297.04,172.08,315.86,297.04,355.21,251.01,231.23,248.50,231.23,251.01,263.61,251.01,202.45,235.29,226.63,233.37,228.92,235.73,228.92,233.37,231.23,231.04,309.54,297.06,279.36,312.70,309.54,235.25,279.36,309.94,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,300.47,298.27,306.45,280.00,319.08,283.29,324.11,281.34,315.73,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,309.63
2026-03-25 03:00:00,294.07,350.00,283.36,294.07,213.85,319.05,269.12,271.84,245.20,247.67,340.46,219.48,262.86,265.52,216.01,294.07,265.52,221.70,223.94,221.70,245.20,213.85,216.01,221.70,223.94,297.04,264.22,294.07,247.67,297.04,172.08,315.86,297.04,354.86,251.01,231.23,248.50,231.23,251.01,263.36,251.01,202.45,235.29,226.63,233.37,228.92,235.73,228.92,233.37,231.23,231.04,309.54,297.00,279.36,311.96,309.54,235.25,279.36,309.25,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,299.61,298.27,306.45,280.00,318.50,283.29,324.05,281.21,315.19,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,308.92
2026-03-25 04:00:00,294.07,350.00,283.36,294.07,213.85,319.05,269.12,271.84,250.17,252.70,340.46,242.74,262.86,265.52,216.01,294.07,265.52,245.20,247.67,245.20,250.17,213.85,216.01,233.72,236.08,297.04,264.22,294.07,252.70,297.04,172.08,315.86,297.04,354.50,251.01,231.23,248.50,231.23,251.01,263.08,251.01,202.45,235.29,226.63,238.66,228.92,242.46,228.92,239.98,231.23,239.48,309.54,296.93,279.36,311.21,309.54,235.25,279.36,308.54,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,298.72,298.27,306.45,280.00,317.91,283.29,323.98,281.08,314.63,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,308.31
2026-03-25 05:00:00,294.07,350.00,283.36,294.07,231.39,319.05,274.59,271.84,255.62,258.20,340.46,250.17,262.86,265.52,233.72,294.07,265.52,247.67,250.17,247.67,255.62,231.39,233.72,233.72,247.67,297.04,264.22,294.07,258.20,297.04,174.50,315.86,297.04,354.15,251.01,231.23,248.50,231.23,251.01,262.77,251.01,202.45,235.29,226.63,243.02,228.92,246.96,228.92,244.56,231.23,245.99,309.54,296.85,279.36,310.45,309.54,235.25,279.36,307.83,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,297.82,298.27,306.45,280.00,317.29,283.29,323.90,280.96,314.04,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,307.78
2026-03-25 06:00:00,294.07,350.00,283.36,294.07,236.95,319.05,274.59,271.84,261.58,264.22,340.46,264.22,265.52,265.52,239.35,294.07,265.52,261.58,264.22,258.96,255.62,236.95,239.35,239.35,247.67,297.04,264.22,294.07,258.20,297.04,174.50,315.86,297.04,353.79,251.01,231.23,248.50,231.23,251.01,262.44,251.01,202.45,235.29,226.63,246.01,228.92,251.01,228.92,248.50,231.23,251.01,309.54,296.77,279.36,309.71,309.54,235.25,279.36,307.12,309.54,212.41,252.24,212.41,252.24,252.24,210.29,227.38,296.92,298.27,306.45,280.00,316.61,283.29,323.78,280.83,313.41,204.50,227.38,225.11,227.38,225.11,174.98,165.77,242.84,307.32
2026-03-25 07:00:00,294.07,350.00,291.13,294.07,231.39,319.05,298.20,288.21,261.58,264.22,340.46,264.22,265.52,265.52,236.08,294.07,265.52,261.58,264.22,258.96,255.62,233.72,233.72,233.72,236.08,297.04,264.22,294.07,258.20,294.07,174.50,315.86,297.04,353.44,251.01,231.23,248.50,231.23,251.01,262.09,251.01,202.45,229.82,226.63,246.01,228.92,251.01,228.92,248.50,231.23,251.01,309.54,296.68,279.36,308.99,309.54,235.25,279.36,306.43,309.54,212.41,252.24,212.41,252.24,252.24,210.29,225.50,296.04,298.27,306.45,280.00,315.88,283.29,323.56,280.71,312.73,204.50,224.73,221.96,224.27,223.27,174.98,165.77,242.84,306.99
2026-03-25 08:00:00,291.13,350.00,291.13,294.07,195.60,319.05,274.59,271.84,247.67,247.67,315.86,252.70,223.57,221.34,199.57,294.07,223.57,250.17,250.17,247.67,245.20,197.58,193.65,219.12,216.93,297.04,247.67,294.07,247.67,294.07,172.08,315.86,297.04,353.10,251.01,231.23,248.50,231.23,249.75,261.71,250.37,202.45,214.61,226.63,246.01,228.92,251.01,228.92,248.50,231.23,251.01,309.54,296.59,279.36,308.31,309.54,235.25,277.84,305.76,309.54,212.41,222.92,212.41,222.82,220.94,210.29,200.93,295.14,298.27,306.45,280.00,315.08,283.29,315.60,280.64,311.98,204.50,214.11,196.93,195.20,198.84,174.98,165.77,242.84,306.71
2026-03-25 09:00:00,184.05,350.00,288.21,294.07,180.39,319.05,274.59,271.84,247.67,247.67,315.86,252.70,184.05,185.91,184.05,291.13,185.91,250.17,250.17,247.67,245.20,182.21,178.58,184.05,182.21,294.07,247.67,291.13,247.67,291.13,172.08,315.86,294.07,352.77,251.01,231.23,248.50,231.23,248.46,259.69,249.73,202.45,184.47,226.63,246.01,228.92,251.01,228.92,248.50,231.23,251.01,309.54,294.77,279.36,307.30,309.54,235.25,186.81,304.69,309.54,212.41,187.69,212.41,186.23,187.55,210.29,184.00,293.85,298.27,306.45,280.00,314.24,283.29,305.96,280.57,311.14,204.50,185.13,180.46,178.65,182.17,174.98,165.77,242.84,306.45
