,setter,driver,asset,price
2025-07-15 00:00:00,Local,coal,gen__256,311.9102608029789
2025-07-15 01:00:00,Local,coal,gen__256,311.91019834230065
2025-07-15 02:00:00,Local,coal,gen__256,311.91015120077645
2025-07-15 03:00:00,Local,coal,gen__256,311.9100978446186
2025-07-15 04:00:00,Local,coal,gen__256,311.9099957113576
2025-07-15 05:00:00,Local,coal,gen__256,311.90984428602496
2025-07-15 06:00:00,Local,coal,gen__256,311.909727569222
2025-07-15 07:00:00,Local,coal,gen__256,311.90907257653816
2025-07-15 08:00:00,Local,coal,gen__256,311.91006676332836
2025-07-15 09:00:00,Local,coal,gen__256,311.9101364491362
2025-07-15 10:00:00,Local,coal,gen__256,311.9101038072604
2025-07-15 11:00:00,Local,coal,gen__256,311.9100646823881
2025-07-15 12:00:00,Local,coal,gen__256,311.90993813776004
2025-07-15 13:00:00,Local,coal,gen__256,311.9101229422158
2025-07-15 14:00:00,Local,coal,gen__256,311.910165860103
2025-07-15 15:00:00,Local,coal,gen__256,311.9102055002277
2025-07-15 16:00:00,Local,coal,gen__256,311.9103822233046
2025-07-15 17:00:00,Local,coal,gen__256,311.9106282271314
2025-07-15 18:00:00,Local,coal,gen__256,311.9104386599902
2025-07-15 19:00:00,Local,coal,gen__254,332.83454448815974
2025-07-15 20:00:00,Local,coal,gen__254,332.8348653508765
2025-07-15 21:00:00,Local,coal,gen__254,332.83472054366393
2025-07-15 22:00:00,Local,coal,gen__256,311.9130982899933
2025-07-15 23:00:00,Local,coal,gen__256,311.91029810232794
2025-07-16 00:00:00,Local,coal,gen__256,311.9102934266848
2025-07-16 01:00:00,Local,coal,gen__256,311.91020296106944
2025-07-16 02:00:00,Local,coal,gen__256,311.91015016752317
2025-07-16 03:00:00,Local,coal,gen__256,311.9100740170943
2025-07-16 04:00:00,Local,coal,gen__256,311.9098569024354
2025-07-16 05:00:00,Local,coal,gen__256,311.90954705814147
2025-07-16 06:00:00,Local,coal,gen__256,311.90962340694205
2025-07-16 07:00:00,Local,coal,gen__256,311.9095600184846
2025-07-16 08:00:00,Local,coal,gen__256,311.91011487932883
2025-07-16 09:00:00,Local,coal,gen__256,311.9101694278579
2025-07-16 10:00:00,Local,coal,gen__256,311.9101734230735
2025-07-16 11:00:00,Local,coal,gen__256,311.9101853346456
2025-07-16 12:00:00,Local,coal,gen__256,311.9101515105831
2025-07-16 13:00:00,Local,coal,gen__256,311.91020023620695
2025-07-16 14:00:00,Local,coal,gen__256,311.91026557042096
2025-07-16 15:00:00,Local,coal,gen__256,311.91029862110736
2025-07-16 16:00:00,Local,coal,gen__256,311.91051245404196
2025-07-16 17:00:00,Other,constraint,,329.5075648106849
2025-07-16 18:00:00,Other,constraint,,329.50894443395737
2025-07-16 19:00:00,Local,coal,gen__254,332.83588259656244
2025-07-16 20:00:00,Local,coal,gen__254,332.83593827050026
2025-07-16 21:00:00,Local,coal,gen__254,332.8359157420782
2025-07-16 22:00:00,Local,coal,gen__254,332.8357781095074
2025-07-16 23:00:00,Local,coal,gen__256,311.91107246442334
2025-07-17 00:00:00,Local,coal,gen__256,311.91074527793353
2025-07-17 01:00:00,Local,coal,gen__256,311.91026466408766
2025-07-17 02:00:00,Local,coal,gen__256,311.91018300886026
2025-07-17 03:00:00,Local,coal,gen__256,311.9101417043803
2025-07-17 04:00:00,Local,coal,gen__256,311.9100820821295
2025-07-17 05:00:00,Local,coal,gen__256,311.9099980613155
2025-07-17 06:00:00,Local,coal,gen__256,311.9099660157008
2025-07-17 07:00:00,Local,coal,gen__256,311.90981622665277
2025-07-17 08:00:00,Local,coal,gen__256,311.91012927870906
2025-07-17 09:00:00,Local,coal,gen__256,311.91019212647916
2025-07-17 10:00:00,Local,coal,gen__256,311.91018278978663
2025-07-17 11:00:00,Local,coal,gen__256,311.91019703856
2025-07-17 12:00:00,Local,coal,gen__256,311.9101944135
2025-07-17 13:00:00,Local,coal,gen__256,311.91038610362193
2025-07-17 14:00:00,Local,coal,gen__256,311.9113228751048
2025-07-17 15:00:00,Local,coal,gen__256,311.9149558362442
2025-07-17 16:00:00,Local,coal,gen__254,332.8357121748504
2025-07-17 17:00:00,Local,coal,gen__254,332.83591696264557
2025-07-17 18:00:00,Local,coal,gen__254,332.8358380050686
2025-07-17 19:00:00,Local,coal,gen__254,332.8363694863874
2025-07-17 20:00:00,Local,coal,gen__254,332.8362995920379
2025-07-17 21:00:00,Local,coal,gen__254,332.83627130007153
2025-07-17 22:00:00,Local,coal,gen__254,332.83586674529033
2025-07-17 23:00:00,Local,coal,gen__256,311.9158499991554
2025-07-18 00:00:00,Local,coal,gen__256,311.91439463284223
2025-07-18 01:00:00,Local,coal,gen__256,311.9103770191123
2025-07-18 02:00:00,Local,coal,gen__256,311.91021982657
2025-07-18 03:00:00,Local,coal,gen__256,311.91017403113074
2025-07-18 04:00:00,Local,coal,gen__256,311.9101358861426
2025-07-18 05:00:00,Local,coal,gen__256,311.9101137329235
2025-07-18 06:00:00,Local,coal,gen__256,311.91008937763036
2025-07-18 07:00:00,Local,coal,gen__256,311.91001879796386
2025-07-18 08:00:00,Local,coal,gen__256,311.910157765873
2025-07-18 09:00:00,Local,coal,gen__256,311.9101961407123
2025-07-18 10:00:00,Local,coal,gen__256,311.9101707807313
2025-07-18 11:00:00,Local,coal,gen__256,311.910142403829
2025-07-18 12:00:00,Local,coal,gen__256,311.910079677009
2025-07-18 13:00:00,Local,coal,gen__256,311.91014935992825
2025-07-18 14:00:00,Local,coal,gen__256,311.9101643063477
2025-07-18 15:00:00,Local,coal,gen__256,311.9101841217307
2025-07-18 16:00:00,Local,coal,gen__256,311.91025779535266
2025-07-18 17:00:00,Local,coal,gen__256,311.9103250668504
2025-07-18 18:00:00,Local,coal,gen__256,311.91027379706793
2025-07-18 19:00:00,Local,coal,gen__256,311.9105185461922
2025-07-18 20:00:00,Local,coal,gen__256,311.910566703873
2025-07-18 21:00:00,Local,coal,gen__256,311.9104893000349
2025-07-18 22:00:00,Local,coal,gen__256,311.9103383005422
2025-07-18 23:00:00,Local,coal,gen__256,311.91021733436355
2025-07-19 00:00:00,Local,coal,gen__256,311.9102352653845
2025-07-19 01:00:00,Local,coal,gen__256,311.91018826250183
2025-07-19 02:00:00,Local,coal,gen__256,311.91014449532486
2025-07-19 03:00:00,Local,coal,gen__256,311.9100827793409
2025-07-19 04:00:00,Local,coal,gen__256,311.9099605973897
2025-07-19 05:00:00,Local,coal,gen__256,311.90970868541626
2025-07-19 06:00:00,Local,coal,gen__256,311.9091935706165
2025-07-19 07:00:00,Other,constraint,,281.51307783962693
2025-07-19 08:00:00,Local,coal,gen__256,311.908014981258
2025-07-19 09:00:00,Local,coal,gen__256,311.90968085287386
2025-07-19 10:00:00,Local,coal,gen__256,311.9093257267523
2025-07-19 11:00:00,Local,coal,gen__256,311.90948994995597
2025-07-19 12:00:00,Local,coal,gen__256,311.90188925684015
2025-07-19 13:00:00,Local,coal,gen__256,311.91001731558754
2025-07-19 14:00:00,Local,coal,gen__256,311.9101214459006
2025-07-19 15:00:00,Local,coal,gen__256,311.91014932783037
2025-07-19 16:00:00,Local,coal,gen__256,311.9101929038043
2025-07-19 17:00:00,Local,coal,gen__256,311.91023917590974
2025-07-19 18:00:00,Local,coal,gen__256,311.91023366734044
2025-07-19 19:00:00,Local,coal,gen__256,311.9104203020197
2025-07-19 20:00:00,Local,coal,gen__256,311.9105235559491
2025-07-19 21:00:00,Local,coal,gen__256,311.9105029194252
2025-07-19 22:00:00,Local,coal,gen__256,311.91031726016445
2025-07-19 23:00:00,Local,coal,gen__256,311.9102082463087
2025-07-20 00:00:00,Local,coal,gen__256,311.9102137997015
2025-07-20 01:00:00,Local,coal,gen__256,311.91017348343667
2025-07-20 02:00:00,Local,coal,gen__256,311.9101231614295
2025-07-20 03:00:00,Local,coal,gen__256,311.9100316662698
2025-07-20 04:00:00,Local,coal,gen__256,311.90976626800693
2025-07-20 05:00:00,Local,coal,gen__256,311.9080687177575
2025-07-20 06:00:00,Import,ac/dc,link_106_Fujian_Guangdong,286.219447556934
2025-07-20 07:00:00,Local,nuclear,gen__3360,20.000215458947423
2025-07-20 08:00:00,Local,nuclear,gen__3360,20.000058483728935
2025-07-20 09:00:00,Local,nuclear,gen__3360,20.00005061129741
2025-07-20 10:00:00,Local,nuclear,gen__3360,20.00000865120819
2025-07-20 11:00:00,Local,nuclear,gen__3360,20.00000219901085
2025-07-20 12:00:00,Local,nuclear,gen__3360,19.999974437216224
2025-07-20 13:00:00,Local,nuclear,gen__3360,20.000021482626835
2025-07-20 14:00:00,Local,nuclear,gen__3360,20.000025246310543
2025-07-20 15:00:00,Local,nuclear,gen__3360,20.00006088531336
2025-07-20 16:00:00,Local,nuclear,gen__3360,20.002129585294824
2025-07-20 17:00:00,Import,ac/dc,link_106_Fujian_Guangdong,305.3919894763949
2025-07-20 18:00:00,Import,ac/dc,link_106_Fujian_Guangdong,305.39250333159
2025-07-20 19:00:00,Local,coal,gen__256,311.90948694947656
2025-07-20 20:00:00,Local,coal,gen__256,311.9098428923771
2025-07-20 21:00:00,Local,coal,gen__256,311.9098570586375
2025-07-20 22:00:00,Local,coal,gen__256,311.90957497335694
2025-07-20 23:00:00,Import,ac/dc,link_106_Fujian_Guangdong,305.393153666324
2025-07-21 00:00:00,Storage,mu_energy=274.85,Guangdong__pumped__dis__3365,305.3926605476645
2025-07-21 01:00:00,Import,ac/dc,link_52_Guangxi_Guangdong,255.6225198976008
2025-07-21 02:00:00,Import,ac/dc,link_52_Guangxi_Guangdong,20.202042263625117
2025-07-21 03:00:00,Local,nuclear,gen__3360,20.00011895190437
2025-07-21 04:00:00,Local,nuclear,gen__3360,20.000029005717806
2025-07-21 05:00:00,Local,nuclear,gen__3360,20.00001723303467
2025-07-21 06:00:00,Local,nuclear,gen__3360,20.00000959964018
2025-07-21 07:00:00,Local,nuclear,gen__3360,20.00003076001485
2025-07-21 08:00:00,Local,coal,gen__256,311.9060110908613
2025-07-21 09:00:00,Local,coal,gen__256,311.9098965221001
2025-07-21 10:00:00,Local,coal,gen__256,311.90990930577937
2025-07-21 11:00:00,Local,coal,gen__256,311.90982567561514
2025-07-21 12:00:00,Other,constraint,,281.49944353363026
2025-07-21 13:00:00,Local,coal,gen__256,311.9094956352001
2025-07-21 14:00:00,Local,coal,gen__256,311.90992066368744
2025-07-21 15:00:00,Local,coal,gen__256,311.9100462935203
2025-07-21 16:00:00,Local,coal,gen__256,311.91014991550037
2025-07-21 17:00:00,Local,coal,gen__256,311.910178510685
2025-07-21 18:00:00,Local,coal,gen__256,311.9101719074897
2025-07-21 19:00:00,Local,coal,gen__256,311.9102027008412
2025-07-21 20:00:00,Local,coal,gen__256,311.91018556053314
2025-07-21 21:00:00,Local,coal,gen__256,311.9101386488983
2025-07-21 22:00:00,Local,coal,gen__256,311.9100032339429
2025-07-21 23:00:00,Local,coal,gen__256,311.908626805518
